Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
sll1998	1,0107926356	RNA-binding protein	transposase		
sll1817	1,0013881617	RNA-binding protein	Rps11		
sll1253	1,0009162881	RNA-binding protein	A-adding tRNA nucleotidyltransferase		
sll1809	1,0006079744	RNA-binding protein	Rps8		
sll1362	1,0005885586	RNA-binding protein	Isoleucyl-tRNA synthetase; IleRS		
slr0064	1,0004237523	RNA-binding protein	RNA methyltransferase 		
sll1800	1,0002948961	RNA-binding protein	Rpl4		
slr1472	1,0002464973	RNA-binding protein	KhpB		
ssl3432	1,0002436612	RNA-binding protein	Rps19		
slr2035	1,0002345079	RNA-binding protein	Glutamate 5-kinase ProB		
sll0179	1,0002331602	RNA-binding protein	Glutamyl-tRNA synthetase; GluRS		
slr1678	1,0002097186	RNA-binding protein	Rpl21		
slr1129	1,0002086671	RNA-binding protein	RNase E		
sll0898	1,0001635175	RNA-binding protein	Small ribosomal subunit biogenesis GTPase RsgA		
slr1646	1,0001542698	RNA-binding protein	Ribonuclease III-1		
ssl1784	1,0001539716	RNA-binding protein	Rps15		
ssr1766	1,0001114226	RNA-binding protein	HicA domain toxin; Kopfmann et al., 2016		
slr1130	1,0000882396	RNA-binding protein	ribonuclease HII		
slr6100	1,0000713682	RNA-binding protein	HigB/RelE (DUF2136) toxin; Kopfmann et al., 2016		
sll0825	1,0000585132	RNA-binding protein	CCA-adding tRNA nucleotidyltransferase		
ssl3445	1,0000533033	RNA-binding protein	Rpl31		
slr1999	1,0000390367	RNA-binding protein	HicAB toxin-antitoxin fused in one protein; Kopfmann et al., 2016		
slr1031	1,0000204103	RNA-binding protein	Tyrosyl-tRNA synthetase; TyrRS		
sll1813	1,0000112934	RNA-binding protein	Rpl15		
sll1553	1,0000096187	RNA-binding protein	Phenylalanyl-tRNA synthetase beta subunit; PheRS		
slr0950	1,430461299	RNA-binding protein	TlyA family RNA methyltransferase 		
slr0974	1,182322395	RNA-binding protein	translation initiation factor IF-3		
sll1789	1,056907567	RNA-binding protein	rpoC2		
sll1252	1,034520016	RNA-binding protein	S4 domain protein of PSII		
slr0006	1,000453827	RNA-binding protein	L-threonylcarbamoyladenylate synthase		
sll1290	1,000199849	RNA-binding protein	RNase II/R homolog		
sll0926	1,000161224	RNA-binding protein	tRNA-dihydrouridine synthase 2		
sll1799	1,000081119	RNA-binding protein	Rpl31		
sll0454	1,13545507	RNA-binding protein	Phenylalanyl-tRNA synthetase alpha subunit; PheRS		
slr1357	1,00289953	RNA-binding protein	transposase		
ssl2233	1,00020467	RNA-binding protein	Rps20		
slr0120	0,9999693916	RNA-binding protein	TrmJ/YjtD family RNA methyltransferase		
slr0551	0,9999344101	RNA-binding protein	RNase J		
slr1469	0,9999309077	RNA-binding protein	Ribonuclease P protein, RnpA		
slr0743	0,9999135584	RNA-binding protein	NusA homolog; compare master thesis Anna Miucci		
sll1811	0,9999092737	RNA-binding protein	RpL18		
slr1629	0,999896179	RNA-binding protein	pseudouridine synthase		
slr0193	0,9998918889	RNA-binding protein	Rbp3		1150, left
slr0346	0,9998592594	RNA-binding protein	Ribonuclease III-2		
sll1866	0,9998257261	RNA-binding protein	L-threonylcarbamoyladenylate synthase		
slr1673	0,9998145154	RNA-binding protein	Uncharacterized tRNA/rRNA methyltransferase		
slr1540	0,9998061319	RNA-binding protein	NAD-dependent epimerase/dehydratase family protein		
slr0321	0,9998045424	RNA-binding protein	GTPase Era		
sll1821	0,9998044226	RNA-binding protein	Rpl13		
slr1991	0,9998022394	RNA-binding protein	Adenylyl cyclase		
slr0457	0,999795919	RNA-binding protein	tRNA pseudouridine (55) synthase; Psi55 synthase		
sll1767	0,9997837053	RNA-binding protein	Rps6		
sll1801	0,9997471324	RNA-binding protein	Rpl23		
ssr2755	0,9997419035	RNA-binding protein	unknown		
ssl3437	0,9997407406	RNA-binding protein	Rps17		
slr0644	0,9997351432	RNA-binding protein	Probable tRNA-dihydrouridine synthase 1		
sll2002	0,9997211892	RNA-binding protein			
sll1812	0,9997200181	RNA-binding protein			
sll1822	0,9997148707	RNA-binding protein			
slr0880	0,9997119107	RNA-binding protein			
sll0216	0,9996895698	RNA-binding protein			
sll1745	0,9996679343	RNA-binding protein			
sll0362	0,9996286853	RNA-binding protein			
slr0992	0,9996263601	RNA-binding protein			
slr0679	0,9995683408	RNA-binding protein			
ssr1720	0,9995622295	RNA-binding protein			
sll0546	0,9995620222	RNA-binding protein			
slr1356	0,9995498398	RNA-binding protein			
sll1097	0,9995044071	RNA-binding protein			
sll0098	0,9995012683	RNA-binding protein			
sll0708	0,9994832411	RNA-binding protein			
slr1550	0,999463441	RNA-binding protein			
ssr1399	0,9994348196	RNA-binding protein			
slr0287	0,9991822545	RNA-binding protein	KhpA		
slr1105	0,9654588009	RNA-binding protein			
slr2058	0,9530150459	RNA-binding protein			
sll0322	0,9475443276	RNA-binding protein			
sll0184	0,9248833457	RNA-binding protein			
sll1808	0,9244554955	RNA-binding protein			
slr1984	0,9056318071	RNA-binding protein			
sll1807	0,8770538876	RNA-binding protein			
sll8018	0,8703875916	RNA-binding protein			
sll1626	0,8583033252	RNA-binding protein			
slr1844	0,8542343889	RNA-binding protein			
sll0754	0,8468243372	RNA-binding protein			
slr0063	0,8450129118	RNA-binding protein			
ssl5103	0,8435663236	RNA-binding protein			
sll2012	0,8186177142	RNA-binding protein			
slr1363	0,7981050466	RNA-binding protein			
slr1762	0,7925350398	RNA-binding protein			
sll2005	0,7741454862	RNA-binding protein			
sll1712	0,7622502604	RNA-binding protein			
ssl0707	0,7550236722	RNA-binding protein			
ssr7084	0,7417064844	RNA-binding protein			
sll1787	0,7186613667	RNA-binding protein			
sll1930	0,7126096225	RNA-binding protein			
slr1521	0,7106381344	RNA-binding protein			
sll0535	0,7065609759	RNA-binding protein			
sll1932	0,6785095957	RNA-binding protein			
slr2076	0,6752152334	RNA-binding protein			
slr0744	0,6676845525	RNA-binding protein			
slr1641	0,6657820671	RNA-binding protein			
slr1133	0,6652574091	RNA-binding protein			
sll0865	0,658843601	RNA-binding protein			
slr0692	0,6529100479	RNA-binding protein			
slr0864	0,6474396102	RNA-binding protein			
slr0423	0,6465221812	RNA-binding protein			
sll1583	0,6366202162	RNA-binding protein			
slr5115	0,6329969151	RNA-binding protein			
sll1746	0,6328894699	RNA-binding protein			
sll1031	0,6324479018	RNA-binding protein			
slr7105	0,630217968	RNA-binding protein			
sll0201	0,630217968	RNA-binding protein			
sll0651	0,630217968	RNA-binding protein			
sll0700	0,630217968	RNA-binding protein			
sll1257	0,630217968	RNA-binding protein			
sll1437	0,630217968	RNA-binding protein			
sll1984	0,630217968	RNA-binding protein			
slr0857	0,630217968	RNA-binding protein			
slr1716	0,630217968	RNA-binding protein			
slr1937	0,630217968	RNA-binding protein			
slr2113	0,630217968	RNA-binding protein			
slr7105	0,630217968	RNA-binding protein			
slr0426	0,628561125	RNA-binding protein			
slr8029	0,6227013114	RNA-binding protein			
sml0006	0,6043427581	RNA-binding protein			
sll1594	0,5953740913	RNA-binding protein			
sll8042	0,5908409283	RNA-binding protein			
slr8046	0,5908409283	RNA-binding protein			
sll7002	0,5894958142	RNA-binding protein	transposase		
sll1275	0,5777467789	RNA-binding protein			
slr2112	0,5716902511	RNA-binding protein			
slr0557	0,5657278993	RNA-binding protein			
sll8043	0,5575446355	RNA-binding protein			
slr8045	0,5575446355	RNA-binding protein			
sll1098	0,5552571101	RNA-binding protein			
sll0897	0,5523926855	RNA-binding protein			
slr1822	0,5461516429	RNA-binding protein			
slr1524	0,5373368404	RNA-binding protein			
slr0881	0,5364957963	RNA-binding protein			
sll0816	0,5294347715	RNA-binding protein			
slr2062	0,5277130447	RNA-binding protein			
slr2024	0,513260635	RNA-binding protein			
slr0298	0,5081244105	RNA-binding protein			
sll6109	0,5079849116	RNA-binding protein			
ssr1260	0,5024349093	RNA-binding protein			
smr0011	0,4926677205	RNA-binding protein			
slr0676	0,4909800821	RNA-binding protein			
ssr3570	0,4870778414	RNA-binding protein			
ssr2799	0,4795842644	RNA-binding protein			
sll1824	0,4753351318	RNA-binding protein			
slr1683	0,4683428728	RNA-binding protein			
slr0689	0,4668735375	RNA-binding protein			
ssl1426	0,4663902106	RNA-binding protein			
slr5010	0,4656656053	RNA-binding protein			
slr1100	0,4655519864	RNA-binding protein			
ssl3436	0,4652639667	RNA-binding protein			
sll8007	0,4641480746	RNA-binding protein			
slr7054	0,4625340776	RNA-binding protein			
slr0228	0,4516180454	RNA-binding protein			
slr0653	0,4512684879	RNA-binding protein			
slr1110	0,4510117461	RNA-binding protein			
ssl5098	0,4486740118	RNA-binding protein			
slr7104	0,4484660168	RNA-binding protein			
sll0200	0,4484660168	RNA-binding protein			
sll0699	0,4484660168	RNA-binding protein			
sll1256	0,4484660168	RNA-binding protein			
sll1436	0,4484660168	RNA-binding protein			
sll1983	0,4484660168	RNA-binding protein			
slr1715	0,4484660168	RNA-binding protein			
slr1936	0,4484660168	RNA-binding protein			
ssr1175	0,4335060981	RNA-binding protein			
sll1994	0,4267923746	RNA-binding protein			
sll6059	0,426207755	RNA-binding protein			
sll1772	0,4254473421	RNA-binding protein			
slr1462	0,4248169751	RNA-binding protein			
sll0020	0,4222677965	RNA-binding protein			
slr1030	0,4219944105	RNA-binding protein			
slr7054	0,4203561372	RNA-binding protein			
slr0115	0,4193772632	RNA-binding protein			
slr0856	0,4186661899	RNA-binding protein			
sll0822	0,415187807	RNA-binding protein			
sll0899	0,4149534487	RNA-binding protein			
slr0915	0,4091980592	RNA-binding protein			
slr1926	0,4063603994	RNA-binding protein			
sll1632	0,3951037214	RNA-binding protein			
sll1776	0,3940352518	RNA-binding protein			
sll7034	0,3933747995	RNA-binding protein			
sll0377	0,389266468	RNA-binding protein			
sll1669	0,3847559895	RNA-binding protein	Shikimate kinase, AroK		7 right
sll1742	0,384741988	RNA-binding protein			
slr1522	0,383904166	RNA-binding protein			
sll1027	0,3816668253	RNA-binding protein			
slr0608	0,3791311022	RNA-binding protein			
sll1908	0,3760812625	RNA-binding protein			
slr1329	0,3734718154	RNA-binding protein			
slr0772	0,3733357924	RNA-binding protein			
sll0284	0,3699360148	RNA-binding protein	DUF87 containing an N-terminal HAS-barrel domain; cf. Riediger et al., 2021		
sll1833	0,3643604528	RNA-binding protein			
ssl7053	0,3629805221	RNA-binding protein			
sll0912	0,3587778182	RNA-binding protein			
ssr1604	0,3586814791	RNA-binding protein			
slr1542	0,3520416153	RNA-binding protein			
slr1808	0,3519202727	RNA-binding protein			
sll1558	0,3492546895	RNA-binding protein			
sll0506	0,349128474	RNA-binding protein			
slr0388	0,3487950572	RNA-binding protein			
ssl0258	0,3480628231	RNA-binding protein			
slr0585	0,343386974	RNA-binding protein			
slr5029	0,3420887688	RNA-binding protein			
sll1423	0,3402502063	RNA-binding protein	NtcA		
sll1638	0,3392618423	RNA-binding protein			
slr6095	0,335619712	RNA-binding protein			
sll8006	0,3343303453	RNA-binding protein			
sll0616	0,3342133991	RNA-binding protein			
slr0554	0,3331193994	RNA-binding protein			
slr1761	0,330363264	RNA-binding protein			
slr0604	0,3294432622	RNA-binding protein			
sll7043	0,3289203645	RNA-binding protein			
sll0764	0,3264561244	RNA-binding protein			
sll1294	0,3264430633	RNA-binding protein			
slr0398	0,323963822	RNA-binding protein			
sll1854	0,3236550058	RNA-binding protein			
slr2108	0,3229619	RNA-binding protein			
sml0011	0,3198272017	RNA-binding protein			
slr0156	0,3158812857	RNA-binding protein			
slr2002	0,3158093031	RNA-binding protein			
sll1933	0,3153471522	RNA-binding protein			
sll1673	0,3144532213	RNA-binding protein	Diguanylate cyclase; two-component response regulator Rre2		6 left
slr0261	0,3144323556	RNA-binding protein			
sll0270	0,3105798719	RNA-binding protein			
sll1967	0,3071123556	RNA-binding protein	rlmD	RNA methyltransferase	3 left
slr0502	0,305435258	RNA-binding protein			
sll0005	0,3011920686	RNA-binding protein			
sll0459	0,2996655161	RNA-binding protein			
ssl0241	0,2906676592	RNA-binding protein			
slr0220	0,2842562941	RNA-binding protein			
ssr2975	0,2838414511	RNA-binding protein			
slr1207	0,2814282955	RNA-binding protein			
slr0733	0,2811389807	RNA-binding protein			
ssr3572	0,2808590957	RNA-binding protein			
sll0145	0,280758125	RNA-binding protein			
slr7005	0,2774778335	RNA-binding protein			
slr5101	0,2742274278	RNA-binding protein			
ssr0482	0,2740732071	RNA-binding protein			
sll1561	0,273951727	RNA-binding protein			
sll1689	0,2735448754	RNA-binding protein			
slr2047	0,2714031488	RNA-binding protein			
slr0383	0,2671914328	RNA-binding protein			
sll1982	0,2633107246	RNA-binding protein			
sll0759	0,2624108746	RNA-binding protein			
ssr6046	0,2618635101	RNA-binding protein			
slr0747	0,2617048677	RNA-binding protein			
slr0549	0,2606360875	RNA-binding protein			
sll1954	0,2589422896	RNA-binding protein			
slr1557	0,2566530064	RNA-binding protein	unknown		
sll0650	0,2487839059	Non RNA-binding protein			
sll7063	0,2483963626	Non RNA-binding protein			
sll0722	0,2479039706	Non RNA-binding protein			
sll0934	0,2454679624	Non RNA-binding protein			
ssl1577	0,2451221439	Non RNA-binding protein			
slr0506	0,2419011551	Non RNA-binding protein			
ssl7051	0,2412575039	Non RNA-binding protein			
sll1084	0,2381986266	Non RNA-binding protein			
sll0569	0,2373357941	Non RNA-binding protein			
slr0978	0,2359573303	Non RNA-binding protein			
sll0021	0,2348597875	Non RNA-binding protein			
sll5026	0,2339248942	Non RNA-binding protein			
sll5026	0,2339248942	Non RNA-binding protein			
slr0989	0,2337428075	Non RNA-binding protein			
slr1250	0,2332131108	Non RNA-binding protein			
slr7049	0,2331056889	Non RNA-binding protein			
slr7049	0,2331056889	Non RNA-binding protein			
slr0758	0,2305543214	Non RNA-binding protein			
slr2121	0,2300111375	Non RNA-binding protein			
slr1390	0,2294460197	Non RNA-binding protein			
sll1184	0,228088698	Non RNA-binding protein			
sll8009	0,2278013628	Non RNA-binding protein			
slr5071	0,2272918882	Non RNA-binding protein			
slr5071	0,2272918882	Non RNA-binding protein			
ssl7004	0,2259553528	Non RNA-binding protein			
ssl7004	0,2259553528	Non RNA-binding protein			
sll1927	0,2242557545	Non RNA-binding protein			
slr0451	0,2233947178	Non RNA-binding protein			
sll8009	0,2223142902	Non RNA-binding protein			
sll0667	0,221541585	Non RNA-binding protein			
slr1312	0,2203872926	Non RNA-binding protein			
ssl7051	0,2199775074	Non RNA-binding protein			
slr0958	0,2197652978	Non RNA-binding protein			
slr1233	0,2185234066	Non RNA-binding protein			
ssr0335	0,2159847691	Non RNA-binding protein			
slr1735	0,2144276758	Non RNA-binding protein			
slr1720	0,2128249611	Non RNA-binding protein			
ssr1473	0,2120641781	Non RNA-binding protein			
slr1536	0,2100411489	Non RNA-binding protein			
slr0500	0,2063401582	Non RNA-binding protein			
sll6055	0,2041663631	Non RNA-binding protein			
slr0460	0,2032313691	Non RNA-binding protein			
sll1260	0,1974156072	Non RNA-binding protein			
slr1535	0,1966188164	Non RNA-binding protein			
slr0357	0,196551966	Non RNA-binding protein			
slr0161	0,1925993717	Non RNA-binding protein			
ssr7072	0,1919816519	Non RNA-binding protein			
slr1510	0,191632388	Non RNA-binding protein			
slr1703	0,1863288946	Non RNA-binding protein			
sll6055	0,1775811934	Non RNA-binding protein			
slr1330	0,1772038424	Non RNA-binding protein			
sll1143	0,1753051051	Non RNA-binding protein			
slr2127	0,1724336556	Non RNA-binding protein			
sll0359	0,1675998433	Non RNA-binding protein			
sll1435	0,166912218	Non RNA-binding protein			
slr0162	0,1657236855	Non RNA-binding protein			
slr0265	0,1607302301	Non RNA-binding protein			
slr1259	0,1605637083	Non RNA-binding protein			
sll0092	0,1556967604	Non RNA-binding protein			
slr6012	0,1530114353	Non RNA-binding protein			
slr6071	0,1530114353	Non RNA-binding protein			
ssl0109	0,1515617137	Non RNA-binding protein			
slr6031	0,1500949472	Non RNA-binding protein			
sll1161	0,1491792325	Non RNA-binding protein			
slr0050	0,1480451265	Non RNA-binding protein			
slr0553	0,1476379722	Non RNA-binding protein			
slr0829	0,146930008	Non RNA-binding protein			
sll0868	0,1462257716	Non RNA-binding protein			
smr0012	0,1458318963	Non RNA-binding protein			
sll0947	0,1445610116	Non RNA-binding protein			
sll1981	0,142071593	Non RNA-binding protein			
slr6047	0,1355581108	Non RNA-binding protein			
ssl0511	0,1345171217	Non RNA-binding protein			
ssr6099	0,1339863346	Non RNA-binding protein			
slr1744	0,1331805281	Non RNA-binding protein			
slr0020	0,128023361	Non RNA-binding protein			
sll1861	0,1268955496	Non RNA-binding protein			
sll1021	0,1262233724	Non RNA-binding protein			
slr1549	0,1249675254	Non RNA-binding protein			
slr0288	0,1242982265	Non RNA-binding protein			
slr1188	0,1214684136	Non RNA-binding protein			
slr1626	0,1160239871	Non RNA-binding protein			
ssr7035	0,1147349072	Non RNA-binding protein			
ssl6035	0,1136708613	Non RNA-binding protein			
ssl6035	0,1136708613	Non RNA-binding protein			
slr0597	0,1118214807	Non RNA-binding protein			
slr0106	0,1112937768	Non RNA-binding protein			
sll1547	0,1095922457	Non RNA-binding protein			
sll0421	0,1074983698	Non RNA-binding protein			
slr0317	0,1068120611	Non RNA-binding protein			
ssl3142	0,1066072806	Non RNA-binding protein			
slr1760	0,1058607147	Non RNA-binding protein			
sll0401	0,0975869608	Non RNA-binding protein			
slr0099	0,0969022819	Non RNA-binding protein			
sll0980	0,0963619682	Non RNA-binding protein			
slr0536	0,0865656674	Non RNA-binding protein			
sll0808	0,0848895042	Non RNA-binding protein			
sll0856	0,0813168697	Non RNA-binding protein			
sll1819	0,0786571814	Non RNA-binding protein			
sll0900	0,0782955759	Non RNA-binding protein			
slr1689	0,0781480939	Non RNA-binding protein			
sll0039	0,0761934077	Non RNA-binding protein			
sll0328	0,0752467586	Non RNA-binding protein			
slr0244	0,0751472289	Non RNA-binding protein			
slr1847	0,0747361834	Non RNA-binding protein			
sll5003	0,0746283681	Non RNA-binding protein			
sll0306	0,0715795048	Non RNA-binding protein			
sll0297	0,0706360403	Non RNA-binding protein			
sll0586	0,0677559251	Non RNA-binding protein			
sll7044	0,067345263	Non RNA-binding protein			
sll0785	0,0654319315	Non RNA-binding protein			
ssl0385	0,0650272612	Non RNA-binding protein			
slr1784	0,0622050177	Non RNA-binding protein			
slr0951	0,0618852559	Non RNA-binding protein			
sll1262	0,0616645108	Non RNA-binding protein			
sll1710	0,0607890444	Non RNA-binding protein			
sll1872	0,0606384898	Non RNA-binding protein			
slr2102	0,0598154917	Non RNA-binding protein			
ssr7035	0,0586793369	Non RNA-binding protein			
sll1641	0,0565849391	Non RNA-binding protein			
ssr5020	0,056011715	Non RNA-binding protein			
sll1389	0,0539358209	Non RNA-binding protein			
sll0818	0,0529450406	Non RNA-binding protein			
sll1181	0,0510678992	Non RNA-binding protein			
slr1541	0,0501077379	Non RNA-binding protein			
ssl0601	0,0474481736	Non RNA-binding protein			
sll1237	0,0364282162	Non RNA-binding protein			
slr0930	0,0322728462	Non RNA-binding protein			
sll1001	0,0314405337	Non RNA-binding protein			
slr1238	0,031252254	Non RNA-binding protein			
sll0630	0,0312089981	Non RNA-binding protein			
sll1274	0,0305413648	Non RNA-binding protein			
slr0088	0,0278867355	Non RNA-binding protein			
sll1470	0,0271906924	Non RNA-binding protein			
sll1691	0,0263148205	Non RNA-binding protein			
slr1383	0,0241218394	Non RNA-binding protein			
slr2013	0,0227790514	Non RNA-binding protein			
sll1343	0,0227446874	Non RNA-binding protein			
ssl3177	0,0197698483	Non RNA-binding protein			
ssl0312	0,0193038217	Non RNA-binding protein			
sll0996	0,0174465921	Non RNA-binding protein			
sll0162	0,0174434679	Non RNA-binding protein			
sll7044	0,0161761307	Non RNA-binding protein			
sll1241	0,01276801	Non RNA-binding protein			
sll0542	0,0114578558	Non RNA-binding protein			
slr1301	0,0096671304	Non RNA-binding protein			
sll1566	0,0080077049	Non RNA-binding protein			
sll0012	0,0047964154	Non RNA-binding protein			
sll0677	0,0047964154	Non RNA-binding protein			
sll1860	0,0047964154	Non RNA-binding protein			
slr0350	0,0047964154	Non RNA-binding protein			
slr0703	0,0047964154	Non RNA-binding protein			
slr0918	0,0042651997	Non RNA-binding protein			
sll5003	0,0022414342	Non RNA-binding protein			
ssl1922	0,0003109614	Non RNA-binding protein			
ssl1045	0,000003236	Non RNA-binding protein			
slr0698	-0,0031313283	Non RNA-binding protein			
slr1495	-0,0053402427	Non RNA-binding protein			
slr0543	-0,007392214	Non RNA-binding protein			
sll0742	-0,0081059751	Non RNA-binding protein			
ssr5020	-0,0086080918	Non RNA-binding protein			
sll1387	-0,0087289578	Non RNA-binding protein			
slr0449	-0,0087426165	Non RNA-binding protein			
slr7015	-0,0088783605	Non RNA-binding protein			
slr7015	-0,0088783605	Non RNA-binding protein			
slr1513	-0,0093044839	Non RNA-binding protein			
slr6038	-0,0102008035	Non RNA-binding protein			
slr1895	-0,0148049776	Non RNA-binding protein			
slr0852	-0,0199899068	Non RNA-binding protein			
slr1300	-0,0203760338	Non RNA-binding protein			
sll0171	-0,0212534438	Non RNA-binding protein			
slr0657	-0,0215236213	Non RNA-binding protein			
sll0533	-0,0260715958	Non RNA-binding protein			
sll1716	-0,0265774967	Non RNA-binding protein			
sll0236	-0,0274317227	Non RNA-binding protein			
slr0074	-0,028110425	Non RNA-binding protein			
sll0010	-0,0286019058	Non RNA-binding protein			
slr0511	-0,0287122434	Non RNA-binding protein			
slr1035	-0,0289402228	Non RNA-binding protein			
sll1424	-0,0291454451	Non RNA-binding protein	Putative SMC domain protein	downstream of ntcA	
sll0550	-0,0295735499	Non RNA-binding protein			
slr0869	-0,0299473038	Non RNA-binding protein			
slr1871	-0,0333296302	Non RNA-binding protein			
slr8026	-0,0362800646	Non RNA-binding protein			
slr8026	-0,0362800646	Non RNA-binding protein			
slr1426	-0,0389726984	Non RNA-binding protein			
sll0936	-0,0393227894	Non RNA-binding protein			
sll0416	-0,0414462021	Non RNA-binding protein			
sll2013	-0,0434765968	Non RNA-binding protein			
sll0505	-0,044838986	Non RNA-binding protein			
sll5066	-0,0452994452	Non RNA-binding protein			
sll5066	-0,0452994452	Non RNA-binding protein			
sll1182	-0,0465838507	Non RNA-binding protein			
sll1499	-0,0470850687	Non RNA-binding protein			
slr7057	-0,0477467622	Non RNA-binding protein			
slr7057	-0,0477467622	Non RNA-binding protein			
slr5040	-0,0500119387	Non RNA-binding protein			
slr5040	-0,0500119387	Non RNA-binding protein			
sll1121	-0,050557628	Non RNA-binding protein			
slr0480	-0,0507810745	Non RNA-binding protein			
sll0484	-0,0521514766	Non RNA-binding protein			
slr2136	-0,0523584963	Non RNA-binding protein			
sll0687	-0,0528968475	Non RNA-binding protein			
slr1560	-0,0537680835	Non RNA-binding protein			
ssr1398	-0,0564135713	Non RNA-binding protein			
sll1530	-0,0572488305	Non RNA-binding protein			
slr0590	-0,0581784963	Non RNA-binding protein			
slr0917	-0,0589218701	Non RNA-binding protein			
sll1356	-0,0600430681	Non RNA-binding protein			
sll0945	-0,06025562	Non RNA-binding protein			
slr1367	-0,0603886946	Non RNA-binding protein			
sll0613	-0,06290584	Non RNA-binding protein			
slr1441	-0,0635594198	Non RNA-binding protein			
sll1401	-0,0637619025	Non RNA-binding protein			
sll0335	-0,0664991908	Non RNA-binding protein			
sll1433	-0,0689237182	Non RNA-binding protein			
slr0150	-0,0690598476	Non RNA-binding protein			
slr6091	-0,0691817388	Non RNA-binding protein			
slr6091	-0,0691817388	Non RNA-binding protein			
slr0417	-0,0696467724	Non RNA-binding protein			
ssr2066	-0,0706552837	Non RNA-binding protein			
sll5083	-0,0711482153	Non RNA-binding protein			
sll5083	-0,0711482153	Non RNA-binding protein			
sll0043	-0,0722048291	Non RNA-binding protein			
ssr6003	-0,0723964648	Non RNA-binding protein			
ssr6003	-0,0723964648	Non RNA-binding protein			
slr0603	-0,0724643988	Non RNA-binding protein			
sll0489	-0,0740436238	Non RNA-binding protein			
sll1988	-0,0740531221	Non RNA-binding protein			
sll0245	-0,075523217	Non RNA-binding protein			
slr0741	-0,0806293911	Non RNA-binding protein			
slr1604	-0,0827849438	Non RNA-binding protein			
slr0017	-0,0835257637	Non RNA-binding protein			
sll1077	-0,08529708	Non RNA-binding protein			
slr1398	-0,0856670157	Non RNA-binding protein			
slr6008	-0,0893936039	Non RNA-binding protein			
